"name","proportions","similarity"
"SBS10b+SBS40","SBS10b=0.04;SBS40=0.96","0.695074396849046"
"SBS40+SBS57","SBS40=0.92;SBS57=0.08","0.695005640088192"
"SBS25+SBS30","SBS25=0.81;SBS30=0.19","0.694727998828728"
"SBS40+SBS47","SBS40=0.93;SBS47=0.07","0.69371030046413"
"SBS3+SBS58","SBS3=0.88;SBS58=0.12","0.693623397241151"
"SBS3+SBS57","SBS3=0.89;SBS57=0.11","0.69361247726539"
"SBS39+SBS40","SBS39=0.15;SBS40=0.85","0.693493743450755"
"SBS3+SBS94","SBS3=0.76;SBS94=0.24","0.693488455138321"
"SBS25+SBS39","SBS25=0.65;SBS39=0.35","0.693242858969873"
"SBS30+SBS40","SBS30=0.07;SBS40=0.93","0.693217429101711"
"SBS7a+SBS40","SBS7a=0.04;SBS40=0.96","0.692934824848647"
"SBS24+SBS40","SBS24=0.09;SBS40=0.91","0.692694381123299"
"SBS7a+SBS25","SBS7a=0.12;SBS25=0.88","0.692581179722778"
"SBS40+SBS88","SBS40=0.94;SBS88=0.06","0.692558420310074"
"SBS16+SBS40","SBS16=0.06;SBS40=0.94","0.692453763157552"
"SBS6+SBS50","SBS6=0.62;SBS50=0.38","0.692278081706875"
"SBS17a+SBS40","SBS17a=0.03;SBS40=0.97","0.692094200497639"
"SBS3+SBS47","SBS3=0.91;SBS47=0.09","0.692073339504016"
"SBS34+SBS40","SBS34=0.03;SBS40=0.97","0.691945752115241"
"SBS3+SBS37","SBS3=0.85;SBS37=0.15","0.691855193111849"
"SBS21+SBS40","SBS21=0.05;SBS40=0.95","0.691789939438712"
"SBS7d+SBS40","SBS7d=0.04;SBS40=0.96","0.691780346430103"
"SBS40+SBS86","SBS40=0.94;SBS86=0.06","0.691253396260968"
"SBS40+SBS58","SBS40=0.94;SBS58=0.06","0.690655047643809"
"SBS25+SBS44","SBS25=0.76;SBS44=0.24","0.690454077823572"
"SBS3+SBS88","SBS3=0.91;SBS88=0.09","0.690394051327289"
"SBS8+SBS15","SBS8=0.59;SBS15=0.41","0.690243965572929"
"SBS40+SBS90","SBS40=0.97;SBS90=0.03","0.689997536845723"
"SBS40+SBS54","SBS40=0.97;SBS54=0.03","0.6894901774777"
"SBS6+SBS86","SBS6=0.6;SBS86=0.4","0.689389213962271"
"SBS40+SBS89","SBS40=0.89;SBS89=0.11","0.689308913830156"
"SBS40+SBS59","SBS40=0.98;SBS59=0.02","0.689271972010024"
"SBS6+SBS10c","SBS6=0.6;SBS10c=0.4","0.688862234115734"
"SBS40+SBS51","SBS40=0.96;SBS51=0.04","0.688689859824578"
"SBS24+SBS92","SBS24=0.24;SBS92=0.76","0.688551740261106"
"SBS20+SBS40","SBS20=0.03;SBS40=0.97","0.688542208727157"
"SBS41+SBS92","SBS41=0.27;SBS92=0.73","0.688510271945734"
"SBS25+SBS32","SBS25=0.8;SBS32=0.2","0.688184308265077"
"SBS12+SBS15","SBS12=0.5;SBS15=0.5","0.688092556352188"
"SBS3+SBS10c","SBS3=0.91;SBS10c=0.09","0.68789913745724"
"SBS11+SBS93","SBS11=0.26;SBS93=0.74","0.687602502539265"
"SBS3+SBS24","SBS3=0.89;SBS24=0.11","0.687555349773973"
"SBS40+SBS43","SBS40=0.99;SBS43=0.01","0.687484286233206"
"SBS15+SBS35","SBS15=0.45;SBS35=0.55","0.687423378475172"
"SBS33+SBS40","SBS33=0.01;SBS40=0.99","0.687345836128779"
"SBS9+SBS11","SBS9=0.75;SBS11=0.25","0.687340625846734"
"SBS40+SBS53","SBS40=0.99;SBS53=0.01","0.687294326205331"
"SBS40+SBS50","SBS40=0.99;SBS50=0.01","0.687284514498624"
"SBS29+SBS40","SBS29=0.01;SBS40=0.99","0.68726183481614"
"SBS9+SBS31","SBS9=0.66;SBS31=0.34","0.687231163134144"
"SBS10c+SBS40","SBS10c=0.01;SBS40=0.99","0.687207299952087"
"SBS2+SBS40","SBS2=0;SBS40=1","0.68720496792884"
"SBS3+SBS16","SBS3=0.93;SBS16=0.07","0.687181187119891"
"SBS4+SBS40","SBS4=0;SBS40=1","0.687148197806465"
"SBS7c+SBS40","SBS7c=0;SBS40=1","0.687148197806465"
"SBS8+SBS40","SBS8=0;SBS40=1","0.687148197806465"
"SBS10a+SBS40","SBS10a=0;SBS40=1","0.687148197806465"
"SBS10d+SBS40","SBS10d=0;SBS40=1","0.687148197806465"
"SBS13+SBS40","SBS13=0;SBS40=1","0.687148197806465"
"SBS14+SBS40","SBS14=0;SBS40=1","0.687148197806465"
"SBS18+SBS40","SBS18=0;SBS40=1","0.687148197806465"
"SBS28+SBS40","SBS28=0;SBS40=1","0.687148197806465"
"SBS36+SBS40","SBS36=0;SBS40=1","0.687148197806465"
"SBS38+SBS40","SBS38=0;SBS40=1","0.687148197806465"
"SBS40+SBS45","SBS40=1;SBS45=0","0.687148197806465"
"SBS40+SBS48","SBS40=1;SBS48=0","0.687148197806465"
"SBS40+SBS49","SBS40=1;SBS49=0","0.687148197806465"
"SBS40+SBS52","SBS40=1;SBS52=0","0.687148197806465"
"SBS40+SBS55","SBS40=1;SBS55=0","0.687148197806465"
"SBS40+SBS56","SBS40=1;SBS56=0","0.687148197806465"
"SBS40+SBS60","SBS40=1;SBS60=0","0.687148197806465"
"SBS40+SBS91","SBS40=1;SBS91=0","0.687148197806465"
"SBS19+SBS93","SBS19=0.26;SBS93=0.74","0.687109631281474"
"SBS7b+SBS15","SBS7b=0.4;SBS15=0.6","0.686432104774195"
"SBS1+SBS39","SBS1=0.21;SBS39=0.79","0.685997903221444"
"SBS31+SBS93","SBS31=0.35;SBS93=0.65","0.685989289780699"
"SBS44+SBS92","SBS44=0.24;SBS92=0.76","0.685822356303046"
"SBS86+SBS92","SBS86=0.2;SBS92=0.8","0.685169633862924"
"SBS84+SBS87","SBS84=0.51;SBS87=0.49","0.685120215306629"
"SBS3+SBS26","SBS3=0.92;SBS26=0.08","0.685115420379204"
"SBS3+SBS34","SBS3=0.96;SBS34=0.04","0.68502697699204"
"SBS6+SBS7a","SBS6=0.75;SBS7a=0.25","0.684904129867859"
"SBS15+SBS57","SBS15=0.53;SBS57=0.47","0.684331183036047"
"SBS3+SBS27","SBS3=0.96;SBS27=0.04","0.683985941977057"
"SBS3+SBS12","SBS3=0.92;SBS12=0.08","0.683767868791583"
"SBS23+SBS92","SBS23=0.17;SBS92=0.83","0.683734001386112"
"SBS11+SBS92","SBS11=0.16;SBS92=0.84","0.683246497226839"
